"division","state","years","sex","measure","participants"
"New South Wales","Banks","18-19","male","Total participants",1102
"New South Wales","Banks","18-19","male","Eligible participants",1431
"New South Wales","Banks","18-19","male","Participation rate (%)",77
"New South Wales","Barton","18-19","male","Total participants",977
"New South Wales","Barton","18-19","male","Eligible participants",1278
"New South Wales","Barton","18-19","male","Participation rate (%)",76.4
"New South Wales","Bennelong","18-19","male","Total participants",1177
"New South Wales","Bennelong","18-19","male","Eligible participants",1488
"New South Wales","Bennelong","18-19","male","Participation rate (%)",79.1
"New South Wales","Berowra","18-19","male","Total participants",1523
"New South Wales","Berowra","18-19","male","Eligible participants",1916
"New South Wales","Berowra","18-19","male","Participation rate (%)",79.5
"New South Wales","Blaxland","18-19","male","Total participants",1152
"New South Wales","Blaxland","18-19","male","Eligible participants",1555
"New South Wales","Blaxland","18-19","male","Participation rate (%)",74.1
"New South Wales","Bradfield","18-19","male","Total participants",1503
"New South Wales","Bradfield","18-19","male","Eligible participants",1826
"New South Wales","Bradfield","18-19","male","Participation rate (%)",82.3
"New South Wales","Calare","18-19","male","Total participants",1163
"New South Wales","Calare","18-19","male","Eligible participants",1643
"New South Wales","Calare","18-19","male","Participation rate (%)",70.8
"New South Wales","Chifley","18-19","male","Total participants",1287
"New South Wales","Chifley","18-19","male","Eligible participants",1828
"New South Wales","Chifley","18-19","male","Participation rate (%)",70.4
"New South Wales","Cook","18-19","male","Total participants",1070
"New South Wales","Cook","18-19","male","Eligible participants",1383
"New South Wales","Cook","18-19","male","Participation rate (%)",77.4
"New South Wales","Cowper","18-19","male","Total participants",1012
"New South Wales","Cowper","18-19","male","Eligible participants",1462
"New South Wales","Cowper","18-19","male","Participation rate (%)",69.2
"New South Wales","Cunningham","18-19","male","Total participants",1323
"New South Wales","Cunningham","18-19","male","Eligible participants",1718
"New South Wales","Cunningham","18-19","male","Participation rate (%)",77
"New South Wales","Dobell","18-19","male","Total participants",1272
"New South Wales","Dobell","18-19","male","Eligible participants",1718
"New South Wales","Dobell","18-19","male","Participation rate (%)",74
"New South Wales","Eden-Monaro","18-19","male","Total participants",973
"New South Wales","Eden-Monaro","18-19","male","Eligible participants",1328
"New South Wales","Eden-Monaro","18-19","male","Participation rate (%)",73.3
"New South Wales","Farrer","18-19","male","Total participants",1008
"New South Wales","Farrer","18-19","male","Eligible participants",1458
"New South Wales","Farrer","18-19","male","Participation rate (%)",69.1
"New South Wales","Fowler","18-19","male","Total participants",1031
"New South Wales","Fowler","18-19","male","Eligible participants",1412
"New South Wales","Fowler","18-19","male","Participation rate (%)",73
"New South Wales","Gilmore","18-19","male","Total participants",912
"New South Wales","Gilmore","18-19","male","Eligible participants",1284
"New South Wales","Gilmore","18-19","male","Participation rate (%)",71
"New South Wales","Grayndler","18-19","male","Total participants",709
"New South Wales","Grayndler","18-19","male","Eligible participants",826
"New South Wales","Grayndler","18-19","male","Participation rate (%)",85.8
"New South Wales","Greenway","18-19","male","Total participants",1260
"New South Wales","Greenway","18-19","male","Eligible participants",1687
"New South Wales","Greenway","18-19","male","Participation rate (%)",74.7
"New South Wales","Hughes","18-19","male","Total participants",1346
"New South Wales","Hughes","18-19","male","Eligible participants",1706
"New South Wales","Hughes","18-19","male","Participation rate (%)",78.9
"New South Wales","Hume","18-19","male","Total participants",1209
"New South Wales","Hume","18-19","male","Eligible participants",1665
"New South Wales","Hume","18-19","male","Participation rate (%)",72.6
"New South Wales","Hunter","18-19","male","Total participants",1178
"New South Wales","Hunter","18-19","male","Eligible participants",1653
"New South Wales","Hunter","18-19","male","Participation rate (%)",71.3
"New South Wales","Kingsford Smith","18-19","male","Total participants",1053
"New South Wales","Kingsford Smith","18-19","male","Eligible participants",1333
"New South Wales","Kingsford Smith","18-19","male","Participation rate (%)",79
"New South Wales","Lindsay","18-19","male","Total participants",1242
"New South Wales","Lindsay","18-19","male","Eligible participants",1750
"New South Wales","Lindsay","18-19","male","Participation rate (%)",71
"New South Wales","Lyne","18-19","male","Total participants",981
"New South Wales","Lyne","18-19","male","Eligible participants",1380
"New South Wales","Lyne","18-19","male","Participation rate (%)",71.1
"New South Wales","Macarthur","18-19","male","Total participants",1209
"New South Wales","Macarthur","18-19","male","Eligible participants",1709
"New South Wales","Macarthur","18-19","male","Participation rate (%)",70.7
"New South Wales","Mackellar","18-19","male","Total participants",1234
"New South Wales","Mackellar","18-19","male","Eligible participants",1546
"New South Wales","Mackellar","18-19","male","Participation rate (%)",79.8
"New South Wales","Macquarie","18-19","male","Total participants",1229
"New South Wales","Macquarie","18-19","male","Eligible participants",1579
"New South Wales","Macquarie","18-19","male","Participation rate (%)",77.8
"New South Wales","McMahon","18-19","male","Total participants",1163
"New South Wales","McMahon","18-19","male","Eligible participants",1562
"New South Wales","McMahon","18-19","male","Participation rate (%)",74.5
"New South Wales","Mitchell","18-19","male","Total participants",1304
"New South Wales","Mitchell","18-19","male","Eligible participants",1687
"New South Wales","Mitchell","18-19","male","Participation rate (%)",77.3
"New South Wales","Newcastle","18-19","male","Total participants",1210
"New South Wales","Newcastle","18-19","male","Eligible participants",1581
"New South Wales","Newcastle","18-19","male","Participation rate (%)",76.5
"New South Wales","New England","18-19","male","Total participants",1002
"New South Wales","New England","18-19","male","Eligible participants",1523
