"division","region","measure","votes"
"South Australia","Adelaide","yes",62769
"South Australia","Adelaide","no",26771
"South Australia","Adelaide","not_clear",217
"South Australia","Adelaide","non_responding",20477
"Victoria","Aston","yes",48455
"Victoria","Aston","no",29730
"Victoria","Aston","not_clear",234
"Victoria","Aston","non_responding",17664
"Victoria","Ballarat","yes",65613
"Victoria","Ballarat","no",27405
"Victoria","Ballarat","not_clear",333
"Victoria","Ballarat","non_responding",20923
"New South Wales","Banks","yes",37736
"New South Wales","Banks","no",46343
"New South Wales","Banks","not_clear",247
"New South Wales","Banks","non_responding",20928
"South Australia","Barker","yes",42498
"South Australia","Barker","no",38827
"South Australia","Barker","not_clear",243
"South Australia","Barker","non_responding",24297
"New South Wales","Barton","yes",37153
"New South Wales","Barton","no",47984
"New South Wales","Barton","not_clear",226
"New South Wales","Barton","non_responding",24008
"Tasmania","Bass","yes",36249
"Tasmania","Bass","no",22510
"Tasmania","Bass","not_clear",145
"Tasmania","Bass","non_responding",15487
"Victoria","Batman","yes",66383
"Victoria","Batman","no",26906
"Victoria","Batman","not_clear",287
"Victoria","Batman","non_responding",17901
"Victoria","Bendigo","yes",63412
"Victoria","Bendigo","no",28852
"Victoria","Bendigo","not_clear",333
"Victoria","Bendigo","non_responding",19360
"New South Wales","Bennelong","yes",42943
"New South Wales","Bennelong","no",43215
"New South Wales","Bennelong","not_clear",244
"New South Wales","Bennelong","non_responding",19973
"New South Wales","Berowra","yes",48471
"New South Wales","Berowra","no",40369
"New South Wales","Berowra","not_clear",212
"New South Wales","Berowra","non_responding",16038
"Queensland","Blair","yes",47194
"Queensland","Blair","no",31433
"Queensland","Blair","not_clear",256
"Queensland","Blair","non_responding",23975
"New South Wales","Blaxland","yes",20406
"New South Wales","Blaxland","no",57926
"New South Wales","Blaxland","not_clear",220
"New South Wales","Blaxland","non_responding",25883
"Queensland","Bonner","yes",52139
"Queensland","Bonner","no",31891
"Queensland","Bonner","not_clear",209
"Queensland","Bonner","non_responding",17981
"South Australia","Boothby","yes",62139
"South Australia","Boothby","no",28556
"South Australia","Boothby","not_clear",234
"South Australia","Boothby","non_responding",16919
"Queensland","Bowman","yes",53529
"Queensland","Bowman","no",32627
"Queensland","Bowman","not_clear",220
"Queensland","Bowman","non_responding",19691
"Tasmania","Braddon","yes",30054
"Tasmania","Braddon","no",25573
"Tasmania","Braddon","not_clear",154
"Tasmania","Braddon","non_responding",17632
"New South Wales","Bradfield","yes",53681
"New South Wales","Bradfield","no",34927
"New South Wales","Bradfield","not_clear",202
"New South Wales","Bradfield","non_responding",17261
"Western Australia","Brand","yes",51953
"Western Australia","Brand","no",25481
"Western Australia","Brand","not_clear",194
"Western Australia","Brand","non_responding",24466
"Queensland","Brisbane","yes",72812
"Queensland","Brisbane","no",18762
"Queensland","Brisbane","not_clear",159
"Queensland","Brisbane","non_responding",20656
"Victoria","Bruce","yes",34644
"Victoria","Bruce","no",39203
"Victoria","Bruce","not_clear",257
"Victoria","Bruce","non_responding",21261
"Western Australia","Burt","yes",44058
"Western Australia","Burt","no",33275
"Western Australia","Burt","not_clear",169
"Western Australia","Burt","non_responding",24197
"New South Wales","Calare","yes",54091
"New South Wales","Calare","no",35779
"New South Wales","Calare","not_clear",285
"New South Wales","Calare","non_responding",25342
"Victoria","Calwell","yes",37839
"Victoria","Calwell","no",49823
"Victoria","Calwell","not_clear",331
"Victoria","Calwell","non_responding",23588
"Australian Capital Territory","Canberra","yes",89590
"Australian Capital Territory","Canberra","no",31361
"Australian Capital Territory","Canberra","not_clear",281
"Australian Capital Territory","Canberra","non_responding",24399
"Western Australia","Canning","yes",48486
"Western Australia","Canning","no",32019
"Western Australia","Canning","not_clear",214
"Western Australia","Canning","non_responding",22157
"Queensland","Capricornia","yes",39917
"Queensland","Capricornia","no",33917
"Queensland","Capricornia","not_clear",230
"Queensland","Capricornia","non_responding",24896
"Victoria","Casey","yes",59959
"Victoria","Casey","no",28144
"Victoria","Casey","not_clear",316
"Victoria","Casey","non_responding",16807
"New South Wales","Chifley","yes",32871
"New South Wales","Chifley","no",46702
"New South Wales","Chifley","not_clear",263
"New South Wales","Chifley","non_responding",28180
"Victoria","Chisholm","yes",49448
"Victoria","Chisholm","no",30844
"Victoria","Chisholm","not_clear",271
"Victoria","Chisholm","non_responding",17188
"New South Wales","Cook","yes",47505
"New South Wales","Cook","no",38804
"New South Wales","Cook","not_clear",229
"New South Wales","Cook","non_responding",18713
"Victoria","Corangamite","yes",69723
"Victoria","Corangamite","no",27708
"Victoria","Corangamite","not_clear",326
"Victoria","Corangamite","non_responding",17123
"Victoria","Corio","yes",62658
"Victoria","Corio","no",29865
"Victoria","Corio","not_clear",359
